transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price,total_amount,total_cost,net_profit
40,2021-05-07 14:50:00,P0396,9,Mastercard,5108754745678799,F,4.18,1,4.89,4.89,4.18,0.71
41,2021-05-07 21:36:00,P0337,6,Mastercard,5108751127851572,F,19.24,6,21.19,127.14000000000001,115.44,11.700000000000017
42,2021-05-07 22:59:00,P0445,4,Americanexpress,374283543850705,F,0.15,1,1.19,1.19,0.15,1.04
43,2021-05-08 00:23:00,P0097,6,Americanexpress,374288165189936,F,9.91,7,11.29,79.03,69.37,9.659999999999997
44,2021-05-08 01:20:00,P0384,4,Mastercard,5108750131849994,F,4.83,3,5.19,15.57,14.49,1.08
45,2021-05-08 01:48:00,P0431,4,Americanexpress,374283964832018,F,10.67,4,11.59,46.36,42.68,3.6799999999999997
46,2021-05-08 03:04:00,P0170,10,Americanexpress,374288240835982,F,8.13,4,8.89,35.56,32.52,3.039999999999999
47,2021-05-08 11:56:00,P0451,6,Mastercard,5048379772765294,F,2.41,2,3.29,6.58,4.82,1.7599999999999998
48,2021-05-08 13:06:00,P0694,7,Americanexpress,374283513164061,F,0.23,3,1.29,3.87,0.6900000000000001,3.18
49,2021-05-08 13:43:00,P0661,3,Visa,4041593023791707,F,8.21,4,8.99,35.96,32.84,3.1199999999999974
50,2021-05-08 14:01:00,P0541,13,Americanexpress,374288359993838,F,2.8,5,3.89,19.45,14.0,5.449999999999999
51,2021-05-08 14:58:00,P0736,4,Visa,4041593367493,F,2.87,1,3.99,3.99,2.87,1.12
52,2021-05-08 16:42:00,P0346,6,Mastercard,5108750415993088,F,12.21,2,13.79,27.58,24.42,3.1599999999999966
53,2021-05-08 17:09:00,P0335,4,Mastercard,5048379720157370,F,17.17,1,18.19,18.19,17.17,1.0199999999999996
54,2021-05-08 17:35:00,P0322,5,Americanexpress,374288132485151,T,13.65,2,14.89,29.78,27.3,2.4800000000000004
55,2021-05-08 21:40:00,P0484,4,Mastercard,5108754483790335,F,10.9,1,11.59,11.59,10.9,0.6899999999999995
56,2021-05-08 22:40:00,P0035,6,Visa,4041598082914470,F,11.76,3,13.09,39.269999999999996,35.28,3.989999999999995
57,2021-05-08 23:32:00,P0268,7,Americanexpress,374288707197975,T,11.93,1,13.39,13.39,11.93,1.4600000000000009
58,2021-05-09 01:25:00,P0741,5,Americanexpress,374283963067350,F,8.06,2,8.69,17.38,16.12,1.259999999999998
59,2021-05-09 01:54:00,P0454,5,Visa,4041592983986489,F,5.79,2,6.99,13.98,11.58,2.4000000000000004
60,2021-05-09 03:19:00,P0474,5,Visa,4041599964251,F,15.66,3,17.49,52.47,46.980000000000004,5.489999999999995
61,2021-05-09 06:30:00,P0582,6,Visa,4041593477620477,F,5.55,4,6.59,26.36,22.2,4.16
62,2021-05-09 06:58:00,P0096,6,Mastercard,5048371366204103,F,15.64,2,17.49,34.98,31.28,3.6999999999999957
63,2021-05-09 10:13:00,P0580,8,Americanexpress,374283780229209,F,3.39,5,4.59,22.95,16.95,6.0
64,2021-05-09 11:56:00,P0455,7,Americanexpress,374288168586070,F,1.63,1,1.79,1.79,1.63,0.16000000000000014
65,2021-05-09 15:47:00,P0531,6,Americanexpress,374288491063268,F,3.2,2,4.39,8.78,6.4,2.379999999999999
66,2021-05-09 17:07:00,P0546,5,Americanexpress,374283593685175,F,3.2,2,4.39,8.78,6.4,2.379999999999999
67,2021-05-09 18:01:00,P0676,9,Mastercard,5048375321591959,F,4.72,3,4.99,14.97,14.16,0.8100000000000005
68,2021-05-09 18:28:00,P0511,6,Visa,4041599716520584,F,7.06,1,8.19,8.19,7.06,1.13
69,2021-05-09 23:49:00,P0468,5,Americanexpress,374288567196331,F,13.48,5,14.79,73.94999999999999,67.4,6.549999999999983
70,2021-05-10 01:14:00,P0100,5,Mastercard,5108756748746465,F,12.05,1,13.59,13.59,12.05,1.5399999999999991
71,2021-05-10 03:11:00,P0357,5,Mastercard,5108758275045121,F,3.34,1,4.49,4.49,3.34,1.1500000000000004
72,2021-05-10 03:32:00,P0225,5,Mastercard,5108757043026314,T,7.79,4,8.29,33.16,31.16,1.9999999999999964
73,2021-05-10 06:25:00,P0410,8,Mastercard,5108751003991963,F,2.95,5,4.09,20.45,14.75,5.699999999999999
74,2021-05-10 07:50:00,P0560,5,Visa,4041599799749,F,1.4,3,1.69,5.07,4.199999999999999,0.870000000000001
75,2021-05-10 08:28:00,P0353,5,Visa,4041590972519,T,15.1,3,16.69,50.07000000000001,45.3,4.77000000000001
76,2021-05-10 15:11:00,P0411,10,Mastercard,5048370011791670,F,13.46,1,14.79,14.79,13.46,1.3299999999999983
77,2021-05-10 15:59:00,P0485,6,Visa,4041597721372,F,19.85,2,21.39,42.78,39.7,3.0799999999999983
78,2021-05-10 19:28:00,P0622,4,Mastercard,5108751065239707,F,13.87,1,14.89,14.89,13.87,1.0200000000000014
79,2021-05-10 23:56:00,P0527,5,Americanexpress,374283920722238,F,16.63,3,18.09,54.269999999999996,49.89,4.3799999999999955
80,2021-05-11 00:48:00,P0482,10,Americanexpress,374283230369324,F,2.75,1,3.89,3.89,2.75,1.1400000000000001
81,2021-05-11 03:15:00,P0291,7,Americanexpress,374283225936665,F,14.13,1,14.89,14.89,14.13,0.7599999999999998
82,2021-05-11 04:09:00,P0697,3,Mastercard,5108757114786531,F,19.48,1,21.29,21.29,19.48,1.8099999999999987
83,2021-05-11 04:15:00,P0535,6,Visa,4041596926533704,F,12.16,1,13.69,13.69,12.16,1.5299999999999994
84,2021-05-11 04:35:00,P0021,6,Visa,4041596591619804,F,14.13,2,14.89,29.78,28.26,1.5199999999999996
85,2021-05-11 06:56:00,P0516,9,Mastercard,5108750142064690,F,6.12,3,7.49,22.47,18.36,4.109999999999999
86,2021-05-11 07:20:00,P0628,8,Mastercard,5048377950961156,T,16.23,1,17.99,17.99,16.23,1.759999999999998
87,2021-05-11 15:06:00,P0461,10,Mastercard,5048377512335493,T,15.83,3,17.69,53.07000000000001,47.49,5.580000000000005
88,2021-05-11 15:41:00,P0278,6,Americanexpress,374283664476645,F,13.24,2,14.69,29.38,26.48,2.8999999999999986
89,2021-05-11 17:38:00,P0628,5,Mastercard,5048372178297590,F,16.23,3,17.99,53.97,48.69,5.280000000000001
90,2021-05-11 18:34:00,P0460,6,Americanexpress,374288984376292,F,4.37,1,4.99,4.99,4.37,0.6200000000000001
91,2021-05-11 19:51:00,P0258,6,Mastercard,5048370342014719,F,16.65,1,18.09,18.09,16.65,1.4400000000000013
92,2021-05-12 01:01:00,P0748,5,Mastercard,5108754264951676,F,10.22,2,11.49,22.98,20.44,2.539999999999999
93,2021-05-12 03:15:00,P0214,5,Mastercard,5048373304757978,F,3.27,3,4.49,13.47,9.81,3.66
94,2021-05-12 03:19:00,P0471,6,Mastercard,5048378490862110,F,14.12,1,14.89,14.89,14.12,0.7700000000000014
95,2021-05-12 04:20:00,P0258,7,Visa,4041592754261,F,16.65,1,18.09,18.09,16.65,1.4400000000000013
96,2021-05-12 05:16:00,P0635,9,Unknown,3553657910290024,F,7.98,1,8.59,8.59,7.98,0.6099999999999994
97,2021-05-12 09:56:00,P0389,5,Americanexpress,374283634553945,T,5.95,1,7.19,7.19,5.95,1.2400000000000002
98,2021-05-12 10:12:00,P0291,4,Visa,4041597573081906,F,14.13,1,14.89,14.89,14.13,0.7599999999999998
99,2021-05-12 11:24:00,P0423,9,Americanexpress,374283552274334,F,14.04,1,14.89,14.89,14.04,0.8500000000000014
100,2021-05-12 11:36:00,P0340,5,Visa,4041597002081139,F,19.56,1,21.29,21.29,19.56,1.7300000000000004
101,2021-05-12 15:11:00,P0489,3,Americanexpress,374288002362589,T,8.46,3,9.49,28.47,25.380000000000003,3.0899999999999963
102,2021-05-12 18:32:00,P0545,8,Mastercard,5108757985493662,T,6.62,1,7.89,7.89,6.62,1.2699999999999996
103,2021-05-12 19:00:00,P0671,8,Mastercard,5108752028002448,F,19.14,1,21.09,21.09,19.14,1.9499999999999993
104,2021-05-12 21:50:00,P0512,7,Mastercard,5048377558214743,F,15.55,3,17.39,52.17,46.650000000000006,5.519999999999996
105,2021-05-12 23:43:00,P0032,5,Visa,4041598701409688,F,5.52,1,6.59,6.59,5.52,1.0700000000000003
106,2021-05-13 01:00:00,P0437,4,Visa,4041591377387,F,0.1,3,1.19,3.57,0.30000000000000004,3.2699999999999996
107,2021-05-13 03:26:00,P0429,9,Americanexpress,374283299852251,F,0.78,2,1.59,3.18,1.56,1.62
108,2021-05-13 07:08:00,P0505,8,Americanexpress,374283427528658,F,3.97,3,4.89,14.669999999999998,11.91,2.759999999999998
109,2021-05-13 07:17:00,P0423,8,Mastercard,5108754133243636,F,14.04,3,14.89,44.67,42.12,2.5500000000000043
110,2021-05-13 15:07:00,P0391,8,Visa,4041591729167271,F,1.6,4,1.79,7.16,6.4,0.7599999999999998
111,2021-05-13 18:01:00,P0430,6,Americanexpress,374283942751819,F,17.67,2,18.99,37.98,35.34,2.6399999999999935
112,2021-05-13 18:45:00,P0584,8,Mastercard,5048371336719511,T,12.95,1,14.59,14.59,12.95,1.6400000000000006
113,2021-05-14 02:52:00,P0131,5,Visa,4041597595442920,F,11.71,1,12.99,12.99,11.71,1.2799999999999994
114,2021-05-14 12:09:00,P0297,6,Mastercard,5048370123934028,F,17.82,1,19.29,19.29,17.82,1.4699999999999989
115,2021-05-14 17:24:00,P0294,6,Americanexpress,374288906868806,F,12.38,1,13.99,13.99,12.38,1.6099999999999994
116,2021-05-14 17:42:00,P0417,5,Mastercard,5108755026729276,F,16.73,2,18.09,36.18,33.46,2.719999999999999
117,2021-05-14 18:30:00,P0690,9,Mastercard,5108753300774142,F,11.93,4,13.39,53.56,47.72,5.840000000000003
118,2021-05-14 18:57:00,P0376,5,Visa,4041591291299,F,10.3,1,11.49,11.49,10.3,1.1899999999999995
119,2021-05-14 19:50:00,P0086,8,Mastercard,5108753483795062,F,1.77,2,2.09,4.18,3.54,0.6399999999999997
120,2021-05-14 22:03:00,P0364,4,Mastercard,5108757745263728,F,15.78,1,17.59,17.59,15.78,1.8100000000000005
121,2021-05-14 22:57:00,P0074,9,Visa,4041597122511668,F,18.11,2,19.79,39.58,36.22,3.3599999999999994
122,2021-05-15 01:03:00,P0305,6,Americanexpress,374283437595721,F,8.74,3,9.99,29.97,26.22,3.75
123,2021-05-15 01:31:00,P0497,8,Americanexpress,374288367344545,T,19.75,5,21.39,106.95,98.75,8.200000000000003
124,2021-05-15 04:17:00,P0527,5,Unknown,3580112966082427,F,16.63,1,18.09,18.09,16.63,1.4600000000000009
125,2021-05-15 11:50:00,P0205,8,Visa,4041590505962,F,16.68,1,18.09,18.09,16.68,1.4100000000000001
126,2021-05-15 12:00:00,P0423,6,Americanexpress,374288179872592,F,14.04,1,14.89,14.89,14.04,0.8500000000000014
127,2021-05-15 14:28:00,P0526,4,Visa,4041597104421,F,3.83,1,4.79,4.79,3.83,0.96
128,2021-05-15 14:41:00,P0368,3,Mastercard,5108758012745355,F,9.52,3,10.99,32.97,28.56,4.41
129,2021-05-15 18:09:00,P0592,12,Americanexpress,374288786300110,F,7.44,1,8.29,8.29,7.44,0.8499999999999988
130,2021-05-15 18:28:00,P0547,8,Visa,4041597987969712,F,20.0,2,21.49,42.98,40.0,2.979999999999997
131,2021-05-15 21:16:00,P0348,3,Mastercard,5048370226314672,F,6.83,1,8.09,8.09,6.83,1.2599999999999998
132,2021-05-15 22:08:00,P0368,6,Mastercard,5108759193067502,F,9.52,1,10.99,10.99,9.52,1.4700000000000006
133,2021-05-15 22:12:00,P0566,4,Americanexpress,374283432883510,F,1.77,1,2.09,2.09,1.77,0.31999999999999984
134,2021-05-15 23:44:00,P0329,6,Mastercard,5048373789263252,F,3.45,4,4.59,18.36,13.8,4.559999999999999
135,2021-05-16 00:40:00,P0328,7,Americanexpress,374288708285894,F,3.18,3,4.39,13.169999999999998,9.540000000000001,3.6299999999999972
136,2021-05-16 04:48:00,P0585,6,Visa,4041591390959386,F,3.81,3,4.79,14.370000000000001,11.43,2.9400000000000013
137,2021-05-16 06:27:00,P0746,3,Visa,4041590529418,F,6.57,1,7.89,7.89,6.57,1.3199999999999994
138,2021-05-16 09:28:00,P0399,6,Mastercard,5048370550999429,F,9.83,3,11.29,33.87,29.490000000000002,4.3799999999999955
139,2021-05-16 11:12:00,P0215,5,Mastercard,5108754366998161,F,0.81,1,1.59,1.59,0.81,0.78
140,2021-05-16 16:37:00,P0456,2,Americanexpress,374288879125242,F,18.35,1,20.19,20.19,18.35,1.8399999999999999
141,2021-05-16 18:32:00,P0372,7,Visa,4041595972249934,F,5.75,1,6.89,6.89,5.75,1.1399999999999997
142,2021-05-16 20:50:00,P0683,5,Americanexpress,374283251743746,T,11.0,1,11.59,11.59,11.0,0.5899999999999999
143,2021-05-16 20:58:00,P0190,9,Americanexpress,374283735062168,F,18.93,3,20.89,62.67,56.79,5.880000000000003
144,2021-05-16 22:24:00,P0509,6,Unknown,3584477636769109,F,11.66,6,12.89,77.34,69.96000000000001,7.3799999999999955
145,2021-05-16 23:13:00,P0484,6,Mastercard,5108754691716627,F,10.9,1,11.59,11.59,10.9,0.6899999999999995
146,2021-05-17 00:36:00,P0703,6,Americanexpress,374288490498556,F,17.42,1,18.49,18.49,17.42,1.0699999999999967
147,2021-05-17 02:22:00,P0493,5,Mastercard,5048373690845007,F,18.02,2,19.69,39.38,36.04,3.3400000000000034
148,2021-05-17 02:30:00,P0299,5,Visa,4041598330504,T,13.5,2,14.79,29.58,27.0,2.5799999999999983
149,2021-05-17 03:09:00,P0386,7,Visa,4041590695901275,F,19.79,1,21.39,21.39,19.79,1.6000000000000014
150,2021-05-17 03:32:00,P0111,8,Visa,4041598230811,T,11.74,1,13.09,13.09,11.74,1.3499999999999996
151,2021-05-17 05:01:00,P0720,8,Mastercard,5108757250320038,F,1.16,1,1.69,1.69,1.16,0.53
152,2021-05-17 05:53:00,P0575,7,Mastercard,5048375426189857,F,2.81,4,3.99,15.96,11.24,4.720000000000001
153,2021-05-17 06:21:00,P0175,9,Americanexpress,374283587670001,F,10.26,2,11.49,22.98,20.52,2.460000000000001
154,2021-05-17 08:14:00,P0160,8,Visa,4041596348193,F,18.16,1,19.89,19.89,18.16,1.7300000000000004
155,2021-05-17 09:11:00,P0549,5,Mastercard,5048374469877023,F,16.85,1,18.19,18.19,16.85,1.3399999999999999
156,2021-05-17 09:40:00,P0325,10,Americanexpress,374283938821378,F,5.35,1,6.29,6.29,5.35,0.9400000000000004
157,2021-05-17 10:38:00,P0683,8,Visa,4041592604409,F,11.0,1,11.59,11.59,11.0,0.5899999999999999
158,2021-05-17 16:45:00,P0475,4,Visa,4041593530181,F,8.08,1,8.79,8.79,8.08,0.7099999999999991
159,2021-05-17 18:02:00,P0397,3,Visa,4041591311236310,T,13.67,1,14.89,14.89,13.67,1.2200000000000006
160,2021-05-17 20:57:00,P0318,6,Visa,4041593642028,F,6.76,1,7.99,7.99,6.76,1.2300000000000004
161,2021-05-18 01:00:00,P0708,4,Mastercard,5108750916517097,F,17.79,5,19.19,95.95,88.94999999999999,7.000000000000014
162,2021-05-18 01:40:00,P0747,6,Americanexpress,374288697097185,F,14.79,1,16.19,16.19,14.79,1.4000000000000021
163,2021-05-18 03:34:00,P0187,2,Mastercard,5048370867534620,F,4.17,1,4.89,4.89,4.17,0.7199999999999998
164,2021-05-18 04:27:00,P0319,5,Visa,4041591635461,F,3.51,1,4.69,4.69,3.51,1.1800000000000006
165,2021-05-18 04:40:00,P0038,4,Mastercard,5108750865399265,F,4.71,2,4.99,9.98,9.42,0.5600000000000005
166,2021-05-18 06:04:00,P0056,5,Mastercard,5048377372987383,F,5.95,1,7.19,7.19,5.95,1.2400000000000002
167,2021-05-18 09:03:00,P0284,6,Mastercard,5108759519483284,F,1.03,1,1.59,1.59,1.03,0.56
168,2021-05-18 09:48:00,P0637,5,Mastercard,5048371011862420,F,15.32,2,17.09,34.18,30.64,3.539999999999999
169,2021-05-18 12:04:00,P0693,5,Unknown,372301380468902,F,15.07,1,16.69,16.69,15.07,1.620000000000001
170,2021-05-18 14:02:00,P0247,2,Visa,4041598690402,F,13.58,2,14.79,29.58,27.16,2.419999999999998
171,2021-05-18 19:07:00,P0351,6,Mastercard,5048376745152238,F,10.04,3,11.39,34.17,30.119999999999997,4.050000000000004
172,2021-05-18 21:42:00,P0156,7,Americanexpress,374288576914211,F,11.37,4,12.39,49.56,45.48,4.080000000000005
173,2021-05-19 00:14:00,P0474,7,Visa,4041591883038,F,15.66,3,17.49,52.47,46.980000000000004,5.489999999999995
174,2021-05-19 01:35:00,P0343,9,Americanexpress,374288628037987,F,3.66,4,4.79,19.16,14.64,4.52
175,2021-05-19 03:03:00,P0522,9,Americanexpress,374283935942185,F,4.9,3,5.39,16.169999999999998,14.700000000000001,1.469999999999997
176,2021-05-19 03:39:00,P0692,8,Americanexpress,374288055891443,F,11.98,1,13.49,13.49,11.98,1.5099999999999998
177,2021-05-19 04:44:00,P0402,7,Visa,4041594109415682,F,11.61,3,12.79,38.37,34.83,3.539999999999999
178,2021-05-19 06:06:00,P0258,8,Americanexpress,374283974630204,T,16.65,4,18.09,72.36,66.6,5.760000000000005
179,2021-05-19 07:10:00,P0442,5,Mastercard,5048370297382202,F,14.89,1,16.39,16.39,14.89,1.5
180,2021-05-19 13:13:00,P0364,6,Mastercard,5048370502629553,F,15.78,1,17.59,17.59,15.78,1.8100000000000005
181,2021-05-19 13:46:00,P0483,4,Visa,4041590069014762,T,17.52,2,18.69,37.38,35.04,2.3400000000000034
182,2021-05-19 14:18:00,P0590,4,Visa,4041596555693092,F,8.1,2,8.79,17.58,16.2,1.379999999999999
183,2021-05-19 16:12:00,P0010,7,Mastercard,5108758776552930,F,3.3,3,4.49,13.47,9.899999999999999,3.570000000000002
184,2021-05-19 17:46:00,P0314,7,Americanexpress,374288774756141,T,14.84,3,16.29,48.87,44.519999999999996,4.350000000000001
185,2021-05-19 17:59:00,P0664,4,Americanexpress,374288180304742,F,3.42,2,4.59,9.18,6.84,2.34
186,2021-05-19 19:38:00,P0600,2,Mastercard,5048378241940702,F,7.38,2,8.29,16.58,14.76,1.8199999999999985
187,2021-05-19 20:15:00,P0388,3,Visa,4041596179024781,F,17.9,2,19.39,38.78,35.8,2.980000000000004
188,2021-05-19 21:38:00,P0235,3,Visa,4041593066792752,F,11.99,2,13.49,26.98,23.98,3.0
189,2021-05-19 22:15:00,P0316,6,Visa,4041596928788,F,1.81,2,2.19,4.38,3.62,0.7599999999999998
190,2021-05-19 22:29:00,P0048,4,Mastercard,5048371000867802,F,17.85,4,19.29,77.16,71.4,5.759999999999991
191,2021-05-20 00:59:00,P0220,4,Mastercard,5048370037466703,F,16.0,1,17.79,17.79,16.0,1.7899999999999991
192,2021-05-20 03:18:00,P0204,4,Americanexpress,374283809130339,T,9.72,1,11.19,11.19,9.72,1.4699999999999989
193,2021-05-20 03:26:00,P0304,4,Americanexpress,374283646650093,F,9.19,2,10.69,21.38,18.38,3.0
194,2021-05-20 05:10:00,P0498,5,Visa,4041599545126,F,11.6,1,12.79,12.79,11.6,1.1899999999999995
195,2021-05-20 08:07:00,P0230,6,Americanexpress,374288951592772,F,4.3,1,4.99,4.99,4.3,0.6900000000000004
196,2021-05-20 09:05:00,P0355,6,Visa,4041594277949,F,6.54,1,7.89,7.89,6.54,1.3499999999999996
197,2021-05-20 09:47:00,P0641,6,Visa,4041597117258,F,13.58,6,14.79,88.74,81.48,7.259999999999991
198,2021-05-20 10:37:00,P0475,5,Americanexpress,374283601023922,F,8.08,5,8.79,43.949999999999996,40.4,3.549999999999997
199,2021-05-20 11:33:00,P0283,5,Visa,4041594078756769,F,1.68,1,1.89,1.89,1.68,0.20999999999999996
200,2021-05-20 13:25:00,P0201,6,Americanexpress,374283700926975,F,9.9,3,11.29,33.87,29.700000000000003,4.169999999999995
201,2021-05-20 13:42:00,P0066,4,Visa,4041599708856,F,9.89,2,11.29,22.58,19.78,2.799999999999997
202,2021-05-20 17:11:00,P0727,10,Visa,4041593038136,T,15.63,2,17.49,34.98,31.26,3.7199999999999953
203,2021-05-20 19:46:00,P0165,6,Americanexpress,374288242992310,F,0.94,1,1.59,1.59,0.94,0.6500000000000001
204,2021-05-20 20:01:00,P0319,6,Visa,4041592524847,F,3.51,5,4.69,23.450000000000003,17.549999999999997,5.900000000000006
205,2021-05-20 23:24:00,P0245,7,Mastercard,5108750321288060,F,4.19,3,4.89,14.669999999999998,12.57,2.099999999999998
206,2021-05-21 01:56:00,P0477,3,Americanexpress,374283004939252,F,2.19,5,2.89,14.450000000000001,10.95,3.5000000000000018
207,2021-05-21 03:56:00,P0371,4,Americanexpress,374283030377063,T,5.38,2,6.29,12.58,10.76,1.8200000000000003
208,2021-05-21 04:01:00,P0420,2,Americanexpress,374283999640170,F,18.06,1,19.69,19.69,18.06,1.6300000000000026
209,2021-05-21 05:29:00,P0655,4,Mastercard,5108759522255745,F,12.45,3,14.09,42.269999999999996,37.349999999999994,4.920000000000002
210,2021-05-21 06:42:00,P0213,6,Americanexpress,374288525756903,F,11.19,1,11.99,11.99,11.19,0.8000000000000007
211,2021-05-21 08:14:00,P0019,3,Visa,4041591895390343,F,8.58,1,9.69,9.69,8.58,1.1099999999999994
212,2021-05-21 12:43:00,P0251,3,Visa,4041599666501931,F,2.11,1,2.79,2.79,2.11,0.6800000000000002
213,2021-05-21 19:56:00,P0348,7,Visa,4041598294213,F,6.83,1,8.09,8.09,6.83,1.2599999999999998
214,2021-05-21 22:20:00,P0450,6,Mastercard,5048378874963815,F,3.76,3,4.79,14.370000000000001,11.28,3.0900000000000016
215,2021-05-22 02:28:00,P0370,5,Visa,4041593492644940,F,19.51,1,21.29,21.29,19.51,1.7799999999999976
216,2021-05-22 04:33:00,P0299,4,Unknown,3588932531862991,F,13.5,2,14.79,29.58,27.0,2.5799999999999983
217,2021-05-22 07:02:00,P0462,4,Mastercard,5048373794369169,F,14.63,1,15.89,15.89,14.63,1.2599999999999998
218,2021-05-22 13:04:00,P0448,5,Mastercard,5048372837039649,T,7.11,4,8.19,32.76,28.44,4.319999999999997
219,2021-05-22 13:12:00,P0381,9,Americanexpress,374283750213514,F,5.05,1,5.69,5.69,5.05,0.6400000000000006
220,2021-05-22 13:45:00,P0745,8,Visa,4041590619573,F,9.85,1,11.29,11.29,9.85,1.4399999999999995
221,2021-05-22 14:43:00,P0487,5,Mastercard,5108752040997559,F,11.44,4,12.49,49.96,45.76,4.200000000000003
222,2021-05-22 15:23:00,P0314,9,Americanexpress,374288407436137,F,14.84,2,16.29,32.58,29.68,2.8999999999999986
223,2021-05-22 16:40:00,P0002,9,Mastercard,5048373181666946,F,3.31,1,4.49,4.49,3.31,1.1800000000000002
